Date,Close/Last,Volume,Open,High,Low
12/31/2019,3231.00,1106942,3223.25,3236.25,3213.00
12/30/2019,3223.50,1089803,3238.25,3244.25,3217.25
12/27/2019,3237.60,935286,3242.00,3254.00,3235.50
12/26/2019,3244.50,445120,3227.50,3244.75,3227.00
12/24/2019,3225.75,281241,3228.25,3231.25,3222.50
12/23/2019,3227.25,603086,3227.00,3234.25,3224.25
12/20/2019,3225.70,1224178,3213.50,3229.50,3208.50
12/19/2019,3211.75,1085015,3199.50,3213.75,3194.50
12/18/2019,3199.25,1149828,3192.50,3203.00,3192.00
12/17/2019,3192.00,989600,3192.50,3199.25,3187.75
12/16/2019,3194.25,1356056,3176.50,3198.75,3173.75
12/13/2019,3172.00,1793569,3175.75,3185.00,3156.75
12/12/2019,3168.00,2337750,3164.25,3174.00,3159.25
12/11/2019,3143.00,1190537,3140.50,3144.50,3138.25
12/10/2019,3136.00,1402111,3133.50,3143.00,3116.25
12/09/2019,3134.50,1106134,3146.50,3149.50,3131.25
12/06/2019,3146.10,1243697,3117.75,3151.00,3117.00
12/05/2019,3117.75,1283900,3111.00,3124.75,3103.25
12/04/2019,3111.00,1443730,3091.75,3119.50,3081.75
12/03/2019,3091.00,2101310,3114.25,3121.75,3069.50
12/02/2019,3114.25,1877336,3146.25,3158.00,3110.25
11/29/2019,3143.70,853213,3150.00,3155.00,3139.50
11/27/2019,3153.75,890391,3143.75,3155.00,3141.75
11/26/2019,3143.75,1035129,3131.25,3145.00,3128.00
11/25/2019,3132.75,880911,3119.00,3133.50,3116.50
11/22/2019,3111.60,951663,3104.00,3114.50,3097.75
11/21/2019,3104.00,1377808,3097.25,3114.50,3091.25
11/20/2019,3109.00,1633911,3116.50,3118.50,3090.75
11/19/2019,3118.50,1129974,3121.50,3132.50,3112.75
11/18/2019,3121.75,980006,3119.00,3127.75,3111.00
11/15/2019,3118.30,1185862,3097.00,3119.50,3095.75
11/14/2019,3097.00,1048429,3096.25,3099.75,3081.75
11/13/2019,3095.50,1217946,3088.25,3096.50,3085.50
11/12/2019,3092.00,1072803,3087.75,3102.00,3081.25
11/11/2019,3087.50,815130,3090.50,3092.25,3074.50
11/08/2019,3090.60,1034699,3086.25,3092.50,3072.50
11/07/2019,3086.00,1318312,3080.75,3087.00,3080.00
11/06/2019,3075.50,1050977,3072.00,3078.00,3071.00
11/05/2019,3072.00,1103444,3076.75,3085.75,3069.75
11/04/2019,3075.75,1123812,3064.75,3083.75,3064.75
11/01/2019,3063.20,1225064,3036.00,3065.00,3033.00
10/31/2019,3035.75,1698572,3051.75,3052.00,3020.25
10/30/2019,3047.75,1146837,3036.50,3055.00,3023.25
10/29/2019,3035.75,1010067,3038.25,3046.25,3029.50
10/28/2019,3036.25,1002330,3023.00,3042.75,3022.75
10/25/2019,3020.30,1065492,3020.25,3024.25,3016.75
